horizon_months,step,date,forecast
29,7,2026-04,304.0892020255836
29,8,2026-05,306.35938819055866
29,9,2026-06,307.60579029101604
29,10,2026-07,308.31622943283804
29,11,2026-08,309.3999751326695
29,12,2026-09,309.6185913392328
29,13,2026-10,310.32825181662304
29,14,2026-11,309.6856594834136
29,15,2026-12,309.4269373376371
29,16,2027-01,310.62243101608914
29,17,2027-02,311.97840815752227
29,18,2027-03,314.3272992599848
29,19,2027-04,316.4100759929152
29,20,2027-05,318.45487979336883
29,21,2027-06,319.86751579873965
29,22,2027-07,320.29574071207736
29,23,2027-08,321.11415766191067
29,24,2027-09,321.5622273574159
29,25,2027-10,322.49536468447604
29,26,2027-11,322.23096942938076
29,27,2027-12,321.7679463686435
29,28,2028-01,322.494476137016
29,29,2028-02,323.3075224862665
30,1,2025-10,298.1723678484726
30,2,2025-11,297.1429428486286
30,3,2025-12,297.0725930299569
30,4,2026-01,298.7340838648992
30,5,2026-02,300.65357517622215
30,6,2026-03,301.88653735597086
30,7,2026-04,304.0892020255836
30,8,2026-05,306.35938819055866
30,9,2026-06,307.60579029101604
30,10,2026-07,308.31622943283804
30,11,2026-08,309.3999751326695
30,12,2026-09,309.6185913392328
30,13,2026-10,310.32825181662304
30,14,2026-11,309.6856594834136
30,15,2026-12,309.4269373376371
30,16,2027-01,310.62243101608914
30,17,2027-02,311.97840815752227
30,18,2027-03,314.3272992599848
30,19,2027-04,316.4100759929152
30,20,2027-05,318.45487979336883
30,21,2027-06,319.86751579873965
30,22,2027-07,320.29574071207736
30,23,2027-08,321.11415766191067
30,24,2027-09,321.5622273574159
30,25,2027-10,322.49536468447604
30,26,2027-11,322.23096942938076
30,27,2027-12,321.7679463686435
30,28,2028-01,322.494476137016
30,29,2028-02,323.3075224862665
30,30,2028-03,325.4152155033307
31,1,2025-10,298.1723678484726
31,2,2025-11,297.1429428486286
31,3,2025-12,297.0725930299569
31,4,2026-01,298.7340838648992
31,5,2026-02,300.65357517622215
31,6,2026-03,301.88653735597086
31,7,2026-04,304.0892020255836
31,8,2026-05,306.35938819055866
31,9,2026-06,307.60579029101604
31,10,2026-07,308.31622943283804
31,11,2026-08,309.3999751326695
31,12,2026-09,309.6185913392328
31,13,2026-10,310.32825181662304
31,14,2026-11,309.6856594834136
31,15,2026-12,309.4269373376371
31,16,2027-01,310.62243101608914
31,17,2027-02,311.97840815752227
31,18,2027-03,314.3272992599848
31,19,2027-04,316.4100759929152
31,20,2027-05,318.45487979336883
31,21,2027-06,319.86751579873965
31,22,2027-07,320.29574071207736
31,23,2027-08,321.11415766191067
31,24,2027-09,321.5622273574159
31,25,2027-10,322.49536468447604
31,26,2027-11,322.23096942938076
31,27,2027-12,321.7679463686435
31,28,2028-01,322.494476137016
31,29,2028-02,323.3075224862665
31,30,2028-03,325.4152155033307
31,31,2028-04,327.81510597433885
32,1,2025-10,298.1723678484726
32,2,2025-11,297.1429428486286
32,3,2025-12,297.0725930299569
32,4,2026-01,298.7340838648992
32,5,2026-02,300.65357517622215
32,6,2026-03,301.88653735597086
32,7,2026-04,304.0892020255836
32,8,2026-05,306.35938819055866
32,9,2026-06,307.60579029101604
32,10,2026-07,308.31622943283804
32,11,2026-08,309.3999751326695
32,12,2026-09,309.6185913392328
32,13,2026-10,310.32825181662304
32,14,2026-11,309.6856594834136
32,15,2026-12,309.4269373376371
32,16,2027-01,310.62243101608914
32,17,2027-02,311.97840815752227
32,18,2027-03,314.3272992599848
32,19,2027-04,316.4100759929152
32,20,2027-05,318.45487979336883
32,21,2027-06,319.86751579873965
32,22,2027-07,320.29574071207736
32,23,2027-08,321.11415766191067
32,24,2027-09,321.5622273574159
32,25,2027-10,322.49536468447604
32,26,2027-11,322.23096942938076
32,27,2027-12,321.7679463686435
32,28,2028-01,322.494476137016
32,29,2028-02,323.3075224862665
32,30,2028-03,325.4152155033307
32,31,2028-04,327.81510597433885
32,32,2028-05,330.52619344969776
33,1,2025-10,298.1723678484726
33,2,2025-11,297.1429428486286
33,3,2025-12,297.0725930299569
33,4,2026-01,298.7340838648992
33,5,2026-02,300.65357517622215
33,6,2026-03,301.88653735597086
33,7,2026-04,304.0892020255836
33,8,2026-05,306.35938819055866
33,9,2026-06,307.60579029101604
33,10,2026-07,308.31622943283804
33,11,2026-08,309.3999751326695
33,12,2026-09,309.6185913392328
33,13,2026-10,310.32825181662304
33,14,2026-11,309.6856594834136
33,15,2026-12,309.4269373376371
33,16,2027-01,310.62243101608914
33,17,2027-02,311.97840815752227
33,18,2027-03,314.3272992599848
33,19,2027-04,316.4100759929152
33,20,2027-05,318.45487979336883
33,21,2027-06,319.86751579873965
33,22,2027-07,320.29574071207736
33,23,2027-08,321.11415766191067
33,24,2027-09,321.5622273574159
33,25,2027-10,322.49536468447604
33,26,2027-11,322.23096942938076
33,27,2027-12,321.7679463686435
33,28,2028-01,322.494476137016
33,29,2028-02,323.3075224862665
33,30,2028-03,325.4152155033307
33,31,2028-04,327.81510597433885
33,32,2028-05,330.52619344969776
33,33,2028-06,331.4326762894917
34,1,2025-10,298.1723678484726
34,2,2025-11,297.1429428486286
34,3,2025-12,297.0725930299569
34,4,2026-01,298.7340838648992
34,5,2026-02,300.65357517622215
34,6,2026-03,301.88653735597086
34,7,2026-04,304.0892020255836
34,8,2026-05,306.35938819055866
34,9,2026-06,307.60579029101604
34,10,2026-07,308.31622943283804
34,11,2026-08,309.3999751326695
34,12,2026-09,309.6185913392328
34,13,2026-10,310.32825181662304
34,14,2026-11,309.6856594834136
34,15,2026-12,309.4269373376371
34,16,2027-01,310.62243101608914
34,17,2027-02,311.97840815752227
34,18,2027-03,314.3272992599848
34,19,2027-04,316.4100759929152
34,20,2027-05,318.45487979336883
34,21,2027-06,319.86751579873965
34,22,2027-07,320.29574071207736
34,23,2027-08,321.11415766191067
34,24,2027-09,321.5622273574159
34,25,2027-10,322.49536468447604
34,26,2027-11,322.23096942938076
34,27,2027-12,321.7679463686435
34,28,2028-01,322.494476137016
34,29,2028-02,323.3075224862665
34,30,2028-03,325.4152155033307
34,31,2028-04,327.81510597433885
34,32,2028-05,330.52619344969776
34,33,2028-06,331.4326762894917
34,34,2028-07,332.696955976082
35,1,2025-10,298.1723678484726
35,2,2025-11,297.1429428486286
35,3,2025-12,297.0725930299569
35,4,2026-01,298.7340838648992
35,5,2026-02,300.65357517622215
35,6,2026-03,301.88653735597086
35,7,2026-04,304.0892020255836
35,8,2026-05,306.35938819055866
35,9,2026-06,307.60579029101604
35,10,2026-07,308.31622943283804
35,11,2026-08,309.3999751326695
35,12,2026-09,309.6185913392328
35,13,2026-10,310.32825181662304
35,14,2026-11,309.6856594834136
35,15,2026-12,309.4269373376371
35,16,2027-01,310.62243101608914
35,17,2027-02,311.97840815752227
35,18,2027-03,314.3272992599848
35,19,2027-04,316.4100759929152
35,20,2027-05,318.45487979336883
35,21,2027-06,319.86751579873965
35,22,2027-07,320.29574071207736
35,23,2027-08,321.11415766191067
35,24,2027-09,321.5622273574159
35,25,2027-10,322.49536468447604
35,26,2027-11,322.23096942938076
